iso3,country,disaggregation,disagg.value,region,subregion,section,stunting_2000,stunting_2001,stunting_2002,stunting_2003,stunting_2004,stunting_2005,stunting_2006,stunting_2007,stunting_2008,stunting_2009,stunting_2010,stunting_2011,stunting_2012,stunting_2013,stunting_2014,stunting_2015,stunting_2016,stunting_2017,stunting_2018,stunting_2019,stunting_2020,wasting_2000,wasting_2001,wasting_2002,wasting_2003,wasting_2004,wasting_2005,wasting_2006,wasting_2007,wasting_2008,wasting_2009,wasting_2010,wasting_2011,wasting_2012,wasting_2013,wasting_2014,wasting_2015,wasting_2016,wasting_2017,wasting_2018,wasting_2019,wasting_2020,overweight_2000,overweight_2001,overweight_2002,overweight_2003,overweight_2004,overweight_2005,overweight_2006,overweight_2007,overweight_2008,overweight_2009,overweight_2010,overweight_2011,overweight_2012,overweight_2013,overweight_2014,overweight_2015,overweight_2016,overweight_2017,overweight_2018,overweight_2019,overweight_2020,coexistence_2000,coexistence_2001,coexistence_2003,coexistence_2005,coexistence_2007,coexistence_2008,coexistence_2009,coexistence_2010,coexistence_2011,coexistence_2012,coexistence_2013,coexistence_2014,coexistence_2015,coexistence_2016,coexistence_2017,coexistence_2018,coexistence_2019,coexistence_2020,lbw_2000,lbw_2001,lbw_2002,lbw_2003,lbw_2004,lbw_2005,lbw_2006,lbw_2007,lbw_2008,lbw_2009,lbw_2010,lbw_2011,lbw_2012,lbw_2013,lbw_2014,lbw_2015
AFG,Afghanistan,all,,Asia,Southern Asia,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,education,None or primary,Asia,Southern Asia,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,39.71,,,,,,,,,,,,,,,,,,,,,5.16,,,,,,,,,,,,,,,,,,,,,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,education,Secondary or higher,Asia,Southern Asia,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,22.9,,,,,,,,,,,,,,,,,,,,,4.45,,,,,,,,,,,,,,,,,,,,,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,location,Rural,Asia,Southern Asia,Child (under-5) nutrition status,,,,,,,,,,,,,,43.33,,,,,40.54,,,,,,,,,,,,,,,,10.41,,,,,5.38,,,,,,,,,,,,,,,,5.97,,,,,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,location,Urban,Asia,Southern Asia,Child (under-5) nutrition status,,,,,,,,,,,,,,31.13,,,,,30.21,,,,,,,,,,,,,,,,6.73,,,,,4.3,,,,,,,,,,,,,,,,3.34,,,,,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,pregnancy,All women,Asia,Southern Asia,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,pregnancy,Non-pregnant women,Asia,Southern Asia,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,pregnancy,Pregnant women,Asia,Southern Asia,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,sex,Both,Asia,Southern Asia,Child (under-5) nutrition status,,,,,59.3,,,,,,,,,40.41,,,,,38.19,,,,,,,8.6,,,,,,,,,9.53,,,,,5.13,,,,,,,4.6,,,,,,,,,5.34,,,,,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,sex,Boys,Asia,Southern Asia,Child (under-5) nutrition status,,,,,60,,,,,,,,,41.31,,,,,38.26,,,,,,,7.9,,,,,,,,,10.33,,,,,6.08,,,,,,,6.3,,,,,,,,,4.88,,,,,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,sex,Boys Projection,Asia,Southern Asia,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,sex,Female,Asia,Southern Asia,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,sex,Female Projection,Asia,Southern Asia,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,sex,Girls,Asia,Southern Asia,Child (under-5) nutrition status,,,,,58.5,,,,,,,,,39.49,,,,,38.12,,,,,,,9.3,,,,,,,,,8.7,,,,,4.13,,,,,,,2.6,,,,,,,,,5.82,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,sex,Girls Projection,Asia,Southern Asia,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,sex,Male,Asia,Southern Asia,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,sex,Male Projection,Asia,Southern Asia,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,wealth,Highest,Asia,Southern Asia,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,24.61,,,,,,,,,,,,,,,,,,,,,2.74,,,,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,wealth,Lowest,Asia,Southern Asia,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,49.46,,,,,,,,,,,,,,,,,,,,,5.42,,,,,,,,,,,,,,,,,,,,,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,wealth,Middle,Asia,Southern Asia,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,39.94,,,,,,,,,,,,,,,,,,,,,5.72,,,,,,,,,,,,,,,,,,,,,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,wealth,Second highest,Asia,Southern Asia,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,35.05,,,,,,,,,,,,,,,,,,,,,5.77,,,,,,,,,,,,,,,,,,,,,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,wealth,Second lowest,Asia,Southern Asia,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,41.29,,,,,,,,,,,,,,,,,,,,,5.62,,,,,,,,,,,,,,,,,,,,,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,age,0-23 months,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,32.68,,,,,,,,,,,,,,,,,,,,,6.68,,,,,,,,,,,,,,,,,,,,,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,age,24-35 months,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,30,,,,,,,,48.58,,,,,,,,,,,,,7,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,age,36-47 months,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,31.3,,,,,,,,41.99,,,,,,,,,,,,,5.3,,,,,,,,2.19,,,,,,,,,,,,,,,,,,,,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,age,48-59 months,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,30.1,,,,,,,,32.31,,,,,,,,,,,,,8,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,all,Free from,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,all,Overweight alone,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,all,Stunting alone,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,all,Stunting and overweight,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,all,Wasting alone,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,all,Wasting and stunting,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,all,,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.04,17.91,17.69,17.53,17.32,17.12,16.9,16.7,16.48,16.29,16.09,15.94,15.77,15.6,15.43,15.26
AGO,Angola,education,None or primary,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,42.84,,,,,,,,,,,,,,,,,,,,,5.49,,,,,,,,,,,,,,,,,,,,,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,education,Secondary or higher,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,24.73,,,,,,,,,,,,,,,,,,,,,3.94,,,,,,,,,,,,,,,,,,,,,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,location,Rural,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,45.73,,,,,,,,,,,,,,,,,,,,,5.39,,,,,,,,,,,,,,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,location,Urban,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,31.81,,,,,,,,,,,,,,,,,,,,,4.58,,,,,,,,,,,,,,,,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,pregnancy,All women,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,pregnancy,Non-pregnant women,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,pregnancy,Pregnant women,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,sex,Both,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,29.2,,,,,,,,37.57,,,,,,,,,,,,,8.2,,,,,,,,4.92,,,,,,,,,,,,,,,,,,,,,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,sex,Boys,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,32.4,,,,,,,,41.01,,,,,,,,,,,,,8.2,,,,,,,,5.57,,,,,,,,,,,,,,,,,,,,,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,sex,Boys Projection,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,sex,Female,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,sex,Female Projection,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,sex,Girls,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,26.1,,,,,,,,34.14,,,,,,,,,,,,,8.1,,,,,,,,4.28,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,sex,Girls Projection,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,sex,Male,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,sex,Male Projection,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,wealth,Highest,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,20.35,,,,,,,,,,,,,,,,,,,,,3.55,,,,,,,,,,,,,,,,,,,,,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,wealth,Lowest,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,47.39,,,,,,,,,,,,,,,,,,,,,5.74,,,,,,,,,,,,,,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,wealth,Middle,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,38.71,,,,,,,,,,,,,,,,,,,,,4.92,,,,,,,,,,,,,,,,,,,,,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,wealth,Second highest,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,26.59,,,,,,,,,,,,,,,,,,,,,3.99,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,wealth,Second lowest,Africa,Middle Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,45.08,,,,,,,,,,,,,,,,,,,,,5.59,,,,,,,,,,,,,,,,,,,,,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,age,0-23 months,Europe,Southern Europe,Child (under-5) nutrition status,38.18,,,,,26.73,,,,29.58,,,,,,,,11.14,,,,14.53,,,,,7.73,,,,12.93,,,,,,,,1.96,,,,29.19,,,,,22.18,,,,24.5,,,,,,,,19.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,age,24-35 months,Europe,Southern Europe,Child (under-5) nutrition status,50.36,,,,,29.98,,,,23.35,,,,,,,,12.22,,,,10.26,,,,,5.79,,,,8.78,,,,,,,,1.27,,,,36.49,,,,,22.23,,,,21.59,,,,,,,,14.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,age,36-47 months,Europe,Southern Europe,Child (under-5) nutrition status,34.33,,,,,25.79,,,,21.98,,,,,,,,13.21,,,,9.95,,,,,7.74,,,,8.16,,,,,,,,1.03,,,,28.32,,,,,25.18,,,,24.91,,,,,,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,age,48-59 months,Europe,Southern Europe,Child (under-5) nutrition status,35.43,,,,,24.93,,,,15.82,,,,,,,,8.98,,,,13.41,,,,,7.6,,,,6.74,,,,,,,,1.7,,,,26.95,,,,,30.32,,,,21.36,,,,,,,,13.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,all,Free from,Europe,Southern Europe,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.8,,,,,,,,,,,,,,,,,,,
ALB,Albania,all,Overweight alone,Europe,Southern Europe,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,,,,,,,,,,,,,,,,,
ALB,Albania,all,Stunting alone,Europe,Southern Europe,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,
ALB,Albania,all,Stunting and overweight,Europe,Southern Europe,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
ALB,Albania,all,Wasting alone,Europe,Southern Europe,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,
ALB,Albania,all,Wasting and stunting,Europe,Southern Europe,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,
ALB,Albania,all,,Europe,Southern Europe,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87,4.85,4.83,4.81,4.78,4.76,4.73,4.71,4.69,4.68,4.66,4.64,4.63,4.61,4.6,4.59
ALB,Albania,education,None or primary,Europe,Southern Europe,Child (under-5) nutrition status,46.13,,,,,40,,,,24.18,,,,,,,,13.1,,,,12.18,,,,,7.29,,,,9.55,,,,,,,,1.87,,,,28.81,,,,,18.04,,,,23.1,,,,,,,,15.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,education,Secondary or higher,Europe,Southern Europe,Child (under-5) nutrition status,31.26,,,,,26.24,,,,21.06,,,,,,,,9.58,,,,12.31,,,,,7.33,,,,9.84,,,,,,,,1.32,,,,31.47,,,,,25.08,,,,22.72,,,,,,,,17.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,location,Rural,Europe,Southern Europe,Child (under-5) nutrition status,44.77,,,,,27.25,,,,23.49,,,,,,,,12.22,,,,10.7,,,,,8.59,,,,8.65,,,,,,,,1.88,,,,30.6,,,,,22,,,,23.01,,,,,,,,17.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,location,Urban,Europe,Southern Europe,Child (under-5) nutrition status,30.13,,,,,25.75,,,,22.73,,,,,,,,10.54,,,,14.67,,,,,5.01,,,,10.95,,,,,,,,1.32,,,,29.23,,,,,30.02,,,,23.56,,,,,,,,15.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,pregnancy,All women,Europe,Southern Europe,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,pregnancy,Non-pregnant women,Europe,Southern Europe,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,pregnancy,Pregnant women,Europe,Southern Europe,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,sex,Both,Europe,Southern Europe,Child (under-5) nutrition status,39.16,,,,,26.72,,,,23.19,,,,,,,,11.32,,,,12.24,,,,,7.32,,,,9.58,,,,,,,,1.58,,,,30.06,,,,,24.84,,,,23.24,,,,,,,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
