section,variable,description,
Policies and targets,NCD_policy,"Operational, multisectoral national NCD policy, strategy or action plan that integrates several NCDs and their risk factors: 'multisectoral' refers to engagement with one or more government sectors outside health; 'operational' refers to a policy, strategy or action plan which is being used and implemented in the country, and has resources and funding available to implement it (yes or no/number of countries with)",
Policies and targets,NCD_unhealthy,"Operational policy, strategy or action plan for unhealthy diet (yes or no/number of countries with)",
Policies and targets,diabetes_policy,"Operational policy, strategy or action plan for diabetes (yes or no/number of countries with)",
Policies and targets,anaemia_plan,Anaemia target included in national policies (yes or no/number of countries with),
Policies and targets,LBW_plan,Low birth weight target included in national policies (yes or no/number of countries with),
Policies and targets,EBF_plan,Exclusive breastfeeding target included in national policies (yes or no/number of countries with),
Policies and targets,stunting_plan,Child stunting target included in national policies (yes or no/number of countries with),
Policies and targets,wasting_plan,Child wasting target included in national policies (yes or no/number of countries with),
Policies and targets,child_overweight_plan,Childhood overweight target included in national policies (yes or no/number of countries with),
Policies and targets,overweight_adults_adoles_plan,Overweight adults and adolescents target included in national policies (yes or no/number of countries with),
Policies and targets,sodium_plan,Sodium target included in national policies (yes or no/number of countries with),
Policies and targets,blood_pressure_plan,Raised blood pressure included in national policies (yes or no/number of countries with),
Policies and targets,diabetes_plan,Blood sugar levels/ diabetes included in national policies (yes or no/number of countries with),
Policies and targets,multi_sec,Comprehensive nutrition plan that involves at least two sectors (yes or no/number of countries with),
Economics and demography,population,Total population (thousands),
Economics and demography,u5_pop,Total population of children aged 0–59 months (thousands),
Economics and demography,65_years,Total population aged 65 years or older (thousands),
Economics and demography,rural_percent,Population living in rural areas (%),
Economics and demography,physicians,"Population density of medical doctors (per 1,000 population)",
Economics and demography,nurses_and_midwives,"Population density of nurses and midwives (per 1,000 population)",
Economics and demography,community_health_workers,"Population density of community health workers (per 1,000 population)",
Economics and demography,GDP_capita_PPP,"Annual gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2017 international $)",
Economics and demography,190_percent,"Population living with less than $1.90 a day, based on 2011 purchasing power parity (%)",
Economics and demography,320_percent,"Population living with less than $3.20 a day, based on 2011 purchasing power parity (%)",
Economics and demography,gini,"Country income inequality, based on the Gini index, which measures the extent to which the distribution of income (or, in some cases, consumption expenditure) among individuals or households in an economy deviates from a perfectly equal distribution. The Gini index ranges from 0 (perfect equality) to 100 (perfect inequality)",
Economics and demography,gini_rank,Income inequality rank (Gini Index country rank) ,
Economics and demography,u5mr,"Probability of dying between birth and 5 years of age, expressed per 1,000 live births (deaths per 1,000 live births) ",
Environmental impacts,environmental_impacts_land_use,Environmental footprint of food system components on cropland use (1000 Mkm2),
Environmental impacts,environmental_impacts_freshwater_use,Environmental footprint of food system components on freshwater use (km3),
Environmental impacts,environmental_impacts_ghg_emissions_lifecycle,Environmental footprint of food system components on greenhouse gas emissions (MiCO2eq),
Environmental impacts,environmental_impacts_nitrogen_application,Environmental footprint of food system components on nitrogen application (GgN),
Environmental impacts,environmental_impacts_phosphorus_application,Environmental footprint of food system components on phosphorus application (GgP),
Environmental impacts,planetary_impacts_Cropland,Food system impact on planetary boundary value (%) of cropland ,
Environmental impacts,planetary_impacts_Freshwater,Food system impact on planetary boundary value (%) of freshwater ,
Environmental impacts,planetary_impacts_Greenhouse gases,Food system impact on planetary boundary value (%) of greenhouse gas emissions,
Environmental impacts,planetary_impacts_Nitrogen,Food system impact on planetary boundary value (%) of nitrogen ,
Environmental impacts,planetary_impacts_Phosphorus,Food system impact on planetary boundary value (%) of phosphorus ,
